村里名,VILLAGE_ID,有效票的SUM,投票數的SUM,選舉人數的SUM,投票率,當選人,當選人得票數,當選人所屬黨派,PARTY_ID,次高票者,次高票得票數,次高票所屬政黨
萬華區富民里,6300700-007,2956,3014,4409,68.4%,林昶佐,1782,時代力量,267,林郁方,1044,中國國民黨
萬華區福音里,6300700-008,2103,2143,3039,70.5%,林昶佐,1193,時代力量,267,林郁方,827,中國國民黨
萬華區仁德里,6300700-009,2893,2937,4170,70.4%,林昶佐,1528,時代力量,267,林郁方,1220,中國國民黨
萬華區富福里,6300700-010,2934,2981,5497,54.2%,林昶佐,1690,時代力量,267,林郁方,1114,中國國民黨
萬華區頂碩里,6300700-011,4449,4541,6390,71.1%,林昶佐,2694,時代力量,267,林郁方,1518,中國國民黨
萬華區雙園里,6300700-012,2724,2776,3964,70.0%,林昶佐,1536,時代力量,267,林郁方,1020,中國國民黨
萬華區新忠里,6300700-013,2085,2121,3121,68.0%,林昶佐,489,時代力量,267,林郁方,1504,中國國民黨
萬華區新和里,6300700-014,5181,5258,7451,70.6%,林昶佐,1442,時代力量,267,林郁方,3514,中國國民黨
萬華區糖廍里,6300700-015,3280,3357,4832,69.5%,林昶佐,1884,時代力量,267,林郁方,1225,中國國民黨
萬華區和平里,6300700-016,4149,4227,6044,69.9%,林昶佐,2581,時代力量,267,林郁方,1359,中國國民黨
萬華區綠堤里,6300700-017,2462,2512,3765,66.7%,林昶佐,1238,時代力量,267,林郁方,1113,中國國民黨
萬華區華江里,6300700-018,4929,5014,7319,68.5%,林昶佐,2763,時代力量,267,林郁方,1943,中國國民黨
萬華區柳鄉里,6300700-019,3149,3202,4701,68.1%,林昶佐,1872,時代力量,267,林郁方,1090,中國國民黨
萬華區日善里,6300700-020,2270,2310,3162,73.1%,林昶佐,1276,時代力量,267,林郁方,875,中國國民黨
萬華區新安里,6300700-021,4615,4729,7147,66.2%,林昶佐,1449,時代力量,267,林郁方,1867,中國國民黨
萬華區忠德里,6300700-022,2554,2596,3701,70.1%,林昶佐,1501,時代力量,267,林郁方,934,中國國民黨
萬華區孝德里,6300700-023,2047,2103,2875,73.1%,林昶佐,1249,時代力量,267,林郁方,687,中國國民黨
萬華區和德里,6300700-024,4002,4061,6030,67.3%,林昶佐,2242,時代力量,267,林郁方,1532,中國國民黨
萬華區錦德里,6300700-025,3320,3388,4826,70.2%,林昶佐,1859,時代力量,267,林郁方,1284,中國國民黨
萬華區全德里,6300700-026,2485,2526,3563,70.9%,林昶佐,1346,時代力量,267,林郁方,1018,中國國民黨
萬華區保德里,6300700-027,2025,2060,2850,72.3%,林昶佐,1090,時代力量,267,林郁方,858,中國國民黨
萬華區銘德里,6300700-028,2835,2885,4066,71.0%,林昶佐,1580,時代力量,267,林郁方,1110,中國國民黨
萬華區榮德里,6300700-029,2199,2261,3164,71.5%,林昶佐,1208,時代力量,267,林郁方,901,中國國民黨
萬華區壽德里,6300700-030,3084,3129,4462,70.1%,林昶佐,1658,時代力量,267,林郁方,1297,中國國民黨
萬華區興德里,6300700-031,2851,2892,4137,69.9%,林昶佐,1559,時代力量,267,林郁方,1113,中國國民黨
萬華區華中里,6300700-032,3767,3827,5339,71.7%,林昶佐,2095,時代力量,267,林郁方,1497,中國國民黨
萬華區日祥里,6300700-033,3360,3443,4790,71.9%,林昶佐,1248,時代力量,267,林郁方,1981,中國國民黨
萬華區忠貞里,6300700-034,2943,3008,4290,70.1%,林昶佐,938,時代力量,267,林郁方,1849,中國國民黨
萬華區凌霄里,6300700-035,2258,2300,3288,70.0%,林昶佐,849,時代力量,267,林郁方,1284,中國國民黨
萬華區騰雲里,6300700-036,1901,1929,2683,71.9%,林昶佐,777,時代力量,267,林郁方,1042,中國國民黨
文山區景行里,6300800-001,3756,3833,5625,68.1%,賴士葆,1557,中國國民黨,1,李慶元,1552,無
文山區景東里,6300800-002,3843,3905,5785,67.5%,賴士葆,1966,中國國民黨,1,李慶元,1299,無
文山區景美里,6300800-003,2930,2979,4254,70.0%,賴士葆,1396,中國國民黨,1,李慶元,1103,無
文山區景慶里,6300800-004,3616,3692,5458,67.6%,賴士葆,1701,中國國民黨,1,李慶元,1379,無
文山區景仁里,6300800-005,2637,2701,3860,70.0%,賴士葆,1274,中國國民黨,1,李慶元,955,無
文山區景華里,6300800-006,3319,3376,4841,69.7%,賴士葆,1642,中國國民黨,1,李慶元,1170,無
文山區萬有里,6300800-007,3091,3145,4521,69.6%,賴士葆,1496,中國國民黨,1,李慶元,1129,無
文山區萬祥里,6300800-008,2633,2695,3866,69.7%,賴士葆,1233,中國國民黨,1,李慶元,999,無
文山區萬隆里,6300800-009,4086,4180,6000,69.7%,賴士葆,2130,中國國民黨,1,李慶元,1387,無
文山區萬年里,6300800-010,3136,3200,4683,68.3%,賴士葆,1470,中國國民黨,1,李慶元,1147,無
文山區萬和里,6300800-011,1905,1947,2787,69.9%,賴士葆,1227,中國國民黨,1,李慶元,460,無
文山區萬盛里,6300800-012,2752,2809,4119,68.2%,賴士葆,1427,中國國民黨,1,李慶元,879,無
文山區興豐里,6300800-013,2837,2903,4073,71.3%,賴士葆,1480,中國國民黨,1,李慶元,960,無
文山區興光里,6300800-014,1903,1938,2934,66.1%,賴士葆,980,中國國民黨,1,李慶元,666,無
文山區興家里,6300800-015,4291,4366,6304,69.3%,賴士葆,2274,中國國民黨,1,李慶元,1457,無
文山區興得里,6300800-016,3401,3472,5049,68.8%,賴士葆,1784,中國國民黨,1,李慶元,1145,無
文山區興業里,6300800-017,3112,3161,4633,68.2%,賴士葆,1740,中國國民黨,1,李慶元,970,無
文山區興安里,6300800-018,3690,3767,5431,69.4%,賴士葆,2061,中國國民黨,1,李慶元,1122,無
文山區興福里,6300800-019,3219,3284,4776,68.8%,賴士葆,1526,中國國民黨,1,李慶元,1226,無
文山區興旺里,6300800-020,4498,4595,6907,66.5%,賴士葆,2453,中國國民黨,1,李慶元,1432,無
文山區興泰里,6300800-021,2298,2355,3382,69.6%,賴士葆,1192,中國國民黨,1,李慶元,762,無
文山區興昌里,6300800-022,3669,3748,5629,66.6%,賴士葆,2006,中國國民黨,1,李慶元,1108,無
文山區試院里,6300800-023,3957,4023,5768,69.7%,賴士葆,2137,中國國民黨,1,李慶元,1159,無
文山區華興里,6300800-024,4977,5080,7288,69.7%,賴士葆,2451,中國國民黨,1,李慶元,1785,無
文山區明義里,6300800-025,1996,2054,3185,64.5%,賴士葆,1090,中國國民黨,1,李慶元,714,無
文山區明興里,6300800-026,3850,3937,5849,67.3%,賴士葆,1969,中國國民黨,1,李慶元,1390,無
文山區木柵里,6300800-027,4996,5094,7330,69.5%,賴士葆,2736,中國國民黨,1,李慶元,1580,無
文山區木新里,6300800-028,5063,5172,8659,59.7%,賴士葆,2196,中國國民黨,1,李慶元,2162,無
文山區順興里,6300800-029,4284,4374,6204,70.5%,賴士葆,1999,中國國民黨,1,李慶元,1714,無
文山區樟林里,6300800-030,4740,4826,7056,68.4%,賴士葆,2422,中國國民黨,1,李慶元,1653,無
文山區樟新里,6300800-031,3067,3120,4527,68.9%,賴士葆,1535,中國國民黨,1,李慶元,1055,無
文山區樟腳里,6300800-032,3179,3260,4597,70.9%,賴士葆,1467,中國國民黨,1,李慶元,1273,無
文山區萬芳里,6300800-033,4342,4431,6544,67.7%,賴士葆,2185,中國國民黨,1,李慶元,1543,無
文山區博嘉里,6300800-034,3119,3189,4734,67.4%,賴士葆,1394,中國國民黨,1,李慶元,1303,無
文山區萬興里,6300800-035,4626,4710,6790,69.4%,賴士葆,1986,中國國民黨,1,李慶元,1943,無
文山區指南里,6300800-036,2114,2152,3173,67.8%,賴士葆,739,中國國民黨,1,李慶元,1086,無
文山區老泉里,6300800-037,503,518,749,69.2%,賴士葆,117,中國國民黨,1,李慶元,337,無
文山區忠順里,6300800-038,2330,2375,3418,69.5%,賴士葆,1285,中國國民黨,1,李慶元,725,無
文山區萬美里,6300800-039,3894,3987,6091,65.5%,賴士葆,1952,中國國民黨,1,李慶元,1338,無
文山區政大里,6300800-040,3797,3857,5633,68.5%,賴士葆,1827,中國國民黨,1,李慶元,1371,無
文山區樟文里,6300800-041,3478,3541,5111,69.3%,賴士葆,1619,中國國民黨,1,李慶元,1363,無
文山區興邦里,6300800-042,2745,2801,4046,69.2%,賴士葆,1589,中國國民黨,1,李慶元,797,無
文山區樟樹里,6300800-043,2731,2795,4042,69.1%,賴士葆,1297,中國國民黨,1,李慶元,1049,無
南港區南港里,6300900-001,3240,3290,5239,62.8%,李彥秀,1454,中國國民黨,1,黃珊珊,1214,親民黨
南港區中南里,6300900-002,2090,2126,3204,66.4%,李彥秀,955,中國國民黨,1,黃珊珊,788,親民黨
南港區新富里,6300900-003,2259,2305,3372,68.4%,李彥秀,1027,中國國民黨,1,黃珊珊,848,親民黨
南港區三重里,6300900-004,3408,3472,5411,64.2%,李彥秀,1460,中國國民黨,1,黃珊珊,1374,親民黨
南港區東新里,6300900-005,3998,4061,5933,68.4%,李彥秀,1780,中國國民黨,1,黃珊珊,1481,親民黨
南港區新光里,6300900-006,2229,2260,3181,71.0%,李彥秀,1116,中國國民黨,1,黃珊珊,735,親民黨
南港區東明里,6300900-007,2667,2720,3935,69.1%,李彥秀,1299,中國國民黨,1,黃珊珊,912,親民黨
南港區西新里,6300900-008,2662,2713,3969,68.4%,李彥秀,962,中國國民黨,1,黃珊珊,1162,親民黨
南港區玉成里,6300900-009,2837,2882,4163,69.2%,李彥秀,1157,中國國民黨,1,黃珊珊,1083,親民黨
南港區合成里,6300900-010,3972,4079,5941,68.7%,李彥秀,1670,中國國民黨,1,黃珊珊,1513,親民黨
南港區成福里,6300900-011,4455,4550,6452,70.5%,李彥秀,2114,中國國民黨,1,黃珊珊,1624,親民黨
南港區萬福里,6300900-012,2573,2615,3605,72.5%,李彥秀,1199,中國國民黨,1,黃珊珊,923,親民黨
南港區鴻福里,6300900-013,2735,2783,3993,69.7%,李彥秀,1224,中國國民黨,1,黃珊珊,991,親民黨
南港區百福里,6300900-014,3042,3115,4579,68.0%,李彥秀,1409,中國國民黨,1,黃珊珊,1070,親民黨
南港區聯成里,6300900-015,2961,3027,4374,69.2%,李彥秀,1367,中國國民黨,1,黃珊珊,1143,親民黨
南港區舊莊里,6300900-016,4911,5014,7634,65.7%,李彥秀,2307,中國國民黨,1,黃珊珊,1733,親民黨
南港區中研里,6300900-017,5324,5434,7691,70.7%,李彥秀,2435,中國國民黨,1,黃珊珊,1960,親民黨
南港區九如里,6300900-018,3551,3629,5380,67.5%,李彥秀,1894,中國國民黨,1,黃珊珊,1138,親民黨
南港區仁福里,6300900-019,3137,3203,4669,68.6%,李彥秀,1546,中國國民黨,1,黃珊珊,1140,親民黨
南港區重陽里,6300900-020,2802,2856,4100,69.7%,李彥秀,1303,中國國民黨,1,黃珊珊,1016,親民黨
內湖區西湖里,6301000-001,4336,4450,6429,69.2%,李彥秀,1568,中國國民黨,1,黃珊珊,1872,親民黨
內湖區西康里,6301000-002,5323,5437,7906,68.8%,李彥秀,2265,中國國民黨,1,黃珊珊,2043,親民黨
內湖區西安里,6301000-003,3943,4027,5711,70.5%,李彥秀,1666,中國國民黨,1,黃珊珊,1506,親民黨
內湖區港墘里,6301000-005,3428,3499,5004,69.9%,李彥秀,1300,中國國民黨,1,黃珊珊,1465,親民黨
內湖區港都里,6301000-006,3193,3263,4603,70.9%,李彥秀,1163,中國國民黨,1,黃珊珊,1319,親民黨
內湖區港富里,6301000-007,5438,5551,7940,69.9%,李彥秀,2040,中國國民黨,1,黃珊珊,2412,親民黨
內湖區港華里,6301000-008,5154,5239,7424,70.6%,李彥秀,1953,中國國民黨,1,黃珊珊,2163,親民黨
內湖區內湖里,6301000-009,3229,3303,5008,66.0%,李彥秀,1372,中國國民黨,1,黃珊珊,1317,親民黨
內湖區湖濱里,6301000-010,4666,4773,6841,69.8%,李彥秀,2076,中國國民黨,1,黃珊珊,1826,親民黨
內湖區紫星里,6301000-011,4671,4761,6774,70.3%,李彥秀,1735,中國國民黨,1,黃珊珊,2081,親民黨
內湖區大湖里,6301000-012,3143,3194,4637,68.9%,李彥秀,1322,中國國民黨,1,黃珊珊,1237,親民黨
內湖區金龍里,6301000-013,3072,3140,4598,68.3%,李彥秀,1165,中國國民黨,1,黃珊珊,1342,親民黨
內湖區金瑞里,6301000-014,3769,3859,5582,69.1%,李彥秀,1407,中國國民黨,1,黃珊珊,1695,親民黨
內湖區碧山里,6301000-015,3898,3962,5840,67.8%,李彥秀,1520,中國國民黨,1,黃珊珊,1660,親民黨
內湖區紫雲里,6301000-016,3309,3384,4902,69.0%,李彥秀,1555,中國國民黨,1,黃珊珊,1214,親民黨
內湖區清白里,6301000-017,4729,4802,6936,69.2%,李彥秀,1700,中國國民黨,1,黃珊珊,2327,親民黨
內湖區葫洲里,6301000-018,3733,3797,5557,68.3%,李彥秀,1620,中國國民黨,1,黃珊珊,1428,親民黨
內湖區紫陽里,6301000-019,4661,4756,6877,69.2%,李彥秀,1961,中國國民黨,1,黃珊珊,1851,親民黨
內湖區瑞陽里,6301000-020,4663,4748,6672,71.2%,李彥秀,2227,中國國民黨,1,黃珊珊,1651,親民黨
內湖區瑞光里,6301000-021,2802,2840,4004,70.9%,李彥秀,1268,中國國民黨,1,黃珊珊,1127,親民黨
內湖區五分里,6301000-022,5376,5487,8450,64.9%,李彥秀,2022,中國國民黨,1,黃珊珊,2189,親民黨
內湖區東湖里,6301000-023,4500,4558,6722,67.8%,李彥秀,1558,中國國民黨,1,黃珊珊,2016,親民黨
內湖區樂康里,6301000-024,4617,4714,7003,67.3%,李彥秀,1672,中國國民黨,1,黃珊珊,1925,親民黨
內湖區內溝里,6301000-025,2700,2754,4023,68.5%,李彥秀,1004,中國國民黨,1,黃珊珊,1188,親民黨
內湖區週美里,6301000-026,4270,4352,6426,67.7%,李彥秀,1841,中國國民黨,1,黃珊珊,1652,親民黨
內湖區行善里,6301000-027,3866,3944,5674,69.5%,李彥秀,1616,中國國民黨,1,黃珊珊,1464,親民黨
內湖區石潭里,6301000-028,1936,1969,3079,63.9%,李彥秀,799,中國國民黨,1,黃珊珊,829,親民黨
內湖區湖興里,6301000-029,4116,4188,7310,57.3%,李彥秀,1534,中國國民黨,1,黃珊珊,1766,親民黨
內湖區湖元里,6301000-030,3080,3142,4680,67.1%,李彥秀,1211,中國國民黨,1,黃珊珊,1278,親民黨
內湖區安湖里,6301000-031,4202,4290,6242,68.7%,李彥秀,1675,中國國民黨,1,黃珊珊,1628,親民黨
內湖區秀湖里,6301000-032,3515,3596,5301,67.8%,李彥秀,1469,中國國民黨,1,黃珊珊,1396,親民黨
內湖區安泰里,6301000-033,2968,3035,4510,67.3%,李彥秀,1196,中國國民黨,1,黃珊珊,1217,親民黨
內湖區金湖里,6301000-034,5041,5136,7521,68.3%,李彥秀,2120,中國國民黨,1,黃珊珊,2088,親民黨
內湖區康寧里,6301000-035,4549,4631,6850,67.6%,李彥秀,1738,中國國民黨,1,黃珊珊,1935,親民黨
內湖區明湖里,6301000-036,2836,2911,4265,68.3%,李彥秀,1159,中國國民黨,1,黃珊珊,1044,親民黨
內湖區蘆洲里,6301000-037,665,674,1036,65.1%,李彥秀,297,中國國民黨,1,黃珊珊,262,親民黨
內湖區麗山里,6301000-038,3343,3416,4898,69.7%,李彥秀,1169,中國國民黨,1,黃珊珊,1426,親民黨
內湖區寶湖里,6301000-039,4230,4306,6642,64.8%,李彥秀,1772,中國國民黨,1,黃珊珊,1747,親民黨
內湖區南湖里,6301000-040,2877,2919,4261,68.5%,李彥秀,1199,中國國民黨,1,黃珊珊,1166,親民黨
士林區仁勇里,6301100-001,2276,2325,3370,69.0%,姚文智,1360,民主進步黨,16,潘懷宗,821,新黨
士林區義信里,6301100-002,1762,1793,2679,66.9%,姚文智,934,民主進步黨,16,潘懷宗,740,新黨
士林區福林里,6301100-003,1739,1781,2611,68.2%,姚文智,872,民主進步黨,16,潘懷宗,786,新黨
士林區福德里,6301100-004,2689,2748,5089,54.0%,姚文智,1353,民主進步黨,16,潘懷宗,1206,新黨
士林區福志里,6301100-005,4465,4584,6511,70.4%,姚文智,2130,民主進步黨,16,潘懷宗,2156,新黨
士林區舊佳里,6301100-006,3606,3682,5258,70.0%,姚文智,1985,民主進步黨,16,潘懷宗,1473,新黨
士林區福佳里,6301100-007,4623,4708,6581,71.5%,姚文智,2523,民主進步黨,16,潘懷宗,1881,新黨
士林區後港里,6301100-008,4603,4712,6978,67.5%,姚文智,2772,民主進步黨,16,潘懷宗,1644,新黨
士林區福中里,6301100-009,3973,4044,5750,70.3%,姚文智,2437,民主進步黨,16,潘懷宗,1381,新黨
士林區前港里,6301100-010,2616,2679,3791,70.7%,姚文智,1549,民主進步黨,16,潘懷宗,948,新黨
士林區百齡里,6301100-011,4247,4327,6083,71.1%,姚文智,2510,民主進步黨,16,潘懷宗,1533,新黨
士林區承德里,6301100-012,3252,3327,4856,68.5%,姚文智,1659,民主進步黨,16,潘懷宗,1453,新黨
士林區福華里,6301100-013,3597,3676,5529,66.5%,姚文智,2005,民主進步黨,16,潘懷宗,1408,新黨
士林區明勝里,6301100-014,2879,2927,4257,68.8%,姚文智,1651,民主進步黨,16,潘懷宗,1100,新黨
士林區福順里,6301100-015,3094,3145,4469,70.4%,姚文智,1995,民主進步黨,16,潘懷宗,975,新黨
士林區富光里,6301100-016,3296,3377,5005,67.5%,姚文智,2121,民主進步黨,16,潘懷宗,1024,新黨
士林區葫蘆里,6301100-017,4487,4574,6482,70.6%,姚文智,2633,民主進步黨,16,潘懷宗,1699,新黨
士林區葫東里,6301100-018,2377,2437,3508,69.5%,姚文智,1521,民主進步黨,16,潘懷宗,750,新黨
士林區社子里,6301100-019,3765,3834,5474,70.0%,姚文智,2372,民主進步黨,16,潘懷宗,1173,新黨
士林區社新里,6301100-020,5142,5272,7652,68.9%,姚文智,3344,民主進步黨,16,潘懷宗,1608,新黨
士林區社園里,6301100-021,4265,4353,6192,70.3%,姚文智,2876,民主進步黨,16,潘懷宗,1202,新黨
士林區永倫里,6301100-022,4302,4402,6369,69.1%,姚文智,2838,民主進步黨,16,潘懷宗,1258,新黨
士林區福安里,6301100-023,2846,2926,4109,71.2%,姚文智,2292,民主進步黨,16,潘懷宗,457,新黨
士林區富洲里,6301100-024,3425,3494,4920,71.0%,姚文智,2584,民主進步黨,16,潘懷宗,706,新黨
士林區岩山里,6301100-025,1969,2018,2996,67.4%,姚文智,926,民主進步黨,16,潘懷宗,964,新黨
士林區名山里,6301100-026,4201,4315,6161,70.0%,姚文智,2061,民主進步黨,16,潘懷宗,1949,新黨
士林區德行里,6301100-027,2595,2618,3762,69.6%,吳思瑤,1334,民主進步黨,16,丁守中,1142,中國國民黨
士林區德華里,6301100-028,3381,3428,4818,71.1%,吳思瑤,1874,民主進步黨,16,丁守中,1377,中國國民黨
士林區聖山里,6301100-029,3003,3078,4309,71.4%,姚文智,1328,民主進步黨,16,潘懷宗,1543,新黨
士林區忠誠里,6301100-030,3316,3360,4868,69.0%,吳思瑤,1224,民主進步黨,16,丁守中,1954,中國國民黨
士林區芝山里,6301100-031,4297,4429,6400,69.2%,姚文智,2167,民主進步黨,16,潘懷宗,1957,新黨
士林區東山里,6301100-032,2941,3004,4354,69.0%,姚文智,1317,民主進步黨,16,潘懷宗,1519,新黨
士林區三玉里,6301100-033,3420,3480,4997,69.6%,吳思瑤,1740,民主進步黨,16,丁守中,1534,中國國民黨
士林區蘭雅里,6301100-034,5120,5166,7418,69.6%,吳思瑤,2560,民主進步黨,16,丁守中,2307,中國國民黨
士林區蘭興里,6301100-035,3859,3917,5556,70.5%,吳思瑤,2014,民主進步黨,16,丁守中,1663,中國國民黨
士林區天福里,6301100-036,3563,3598,5240,68.7%,吳思瑤,1774,民主進步黨,16,丁守中,1671,中國國民黨
士林區天祿里,6301100-037,3031,3069,4476,68.6%,吳思瑤,1627,民主進步黨,16,丁守中,1271,中國國民黨
士林區天壽里,6301100-038,2886,2922,4214,69.3%,吳思瑤,1423,民主進步黨,16,丁守中,1350,中國國民黨
士林區天和里,6301100-039,4336,4374,6321,69.2%,吳思瑤,2176,民主進步黨,16,丁守中,1983,中國國民黨
士林區天山里,6301100-040,3944,3999,5881,68.0%,吳思瑤,1903,民主進步黨,16,丁守中,1880,中國國民黨
士林區天玉里,6301100-041,4936,4993,7262,68.8%,吳思瑤,2389,民主進步黨,16,丁守中,2303,中國國民黨
士林區天母里,6301100-042,3861,3924,5701,68.8%,吳思瑤,1839,民主進步黨,16,丁守中,1871,中國國民黨
士林區永福里,6301100-043,741,758,1113,68.1%,姚文智,468,民主進步黨,16,潘懷宗,241,新黨
士林區公館里,6301100-044,779,791,1237,63.9%,姚文智,516,民主進步黨,16,潘懷宗,237,新黨
士林區新安里,6301100-045,1104,1132,1760,64.3%,姚文智,719,民主進步黨,16,丁守中,1926,中國國民黨
士林區陽明里,6301100-046,1737,1769,2713,65.2%,姚文智,929,民主進步黨,16,潘懷宗,717,新黨
士林區菁山里,6301100-047,938,959,1434,66.9%,姚文智,522,民主進步黨,16,潘懷宗,372,新黨
士林區平等里,6301100-048,899,913,1280,71.3%,姚文智,690,民主進步黨,16,潘懷宗,180,新黨
士林區溪山里,6301100-049,798,814,1263,64.4%,姚文智,541,民主進步黨,16,潘懷宗,214,新黨
士林區翠山里,6301100-050,1545,1589,2373,67.0%,姚文智,476,民主進步黨,16,潘懷宗,980,新黨
士林區臨溪里,6301100-051,1695,1752,2565,68.3%,姚文智,835,民主進步黨,16,潘懷宗,781,新黨
北投區建民里,6301200-001,2565,2585,3644,70.9%,吳思瑤,1416,民主進步黨,16,丁守中,1030,中國國民黨
北投區文林里,6301200-002,2542,2570,3605,71.3%,吳思瑤,1396,民主進步黨,16,丁守中,998,中國國民黨
北投區石牌里,6301200-003,3240,3270,4599,71.1%,吳思瑤,1759,民主進步黨,16,丁守中,1261,中國國民黨
北投區福興里,6301200-004,4106,4159,5779,72.0%,吳思瑤,2100,民主進步黨,16,丁守中,1758,中國國民黨
北投區榮光里,6301200-005,4131,4174,6032,69.2%,吳思瑤,2035,民主進步黨,16,丁守中,1846,中國國民黨
北投區榮華里,6301200-006,4427,4463,6324,70.6%,吳思瑤,2101,民主進步黨,16,丁守中,2127,中國國民黨
北投區裕民里,6301200-007,4489,4537,6491,69.9%,吳思瑤,2165,民主進步黨,16,丁守中,2016,中國國民黨
北投區振華里,6301200-008,4523,4561,6469,70.5%,吳思瑤,2094,民主進步黨,16,丁守中,2111,中國國民黨
北投區永和里,6301200-009,5175,5225,7632,68.5%,吳思瑤,2666,民主進步黨,16,丁守中,2241,中國國民黨
北投區永欣里,6301200-010,4438,4489,6458,69.5%,吳思瑤,2007,民主進步黨,16,丁守中,2216,中國國民黨
北投區永明里,6301200-011,2844,2871,3958,72.5%,吳思瑤,1349,民主進步黨,16,丁守中,1319,中國國民黨
北投區東華里,6301200-012,2671,2692,3668,73.4%,吳思瑤,1176,民主進步黨,16,丁守中,1325,中國國民黨
北投區吉利里,6301200-013,3950,3990,5586,71.4%,吳思瑤,1808,民主進步黨,16,丁守中,1863,中國國民黨
北投區吉慶里,6301200-014,3072,3110,4284,72.6%,吳思瑤,1677,民主進步黨,16,丁守中,1229,中國國民黨
北投區尊賢里,6301200-015,2761,2798,3912,71.5%,吳思瑤,1540,民主進步黨,16,丁守中,1052,中國國民黨
北投區立賢里,6301200-016,3105,3152,4482,70.3%,吳思瑤,1660,民主進步黨,16,丁守中,1267,中國國民黨
北投區立農里,6301200-017,5264,5316,7461,71.3%,吳思瑤,2790,民主進步黨,16,丁守中,2183,中國國民黨
北投區八仙里,6301200-018,3130,3156,4581,68.9%,吳思瑤,1685,民主進步黨,16,丁守中,1276,中國國民黨
北投區洲美里,6301200-019,1244,1262,1813,69.6%,吳思瑤,847,民主進步黨,16,丁守中,349,中國國民黨
北投區奇岩里,6301200-020,5692,5760,8175,70.5%,吳思瑤,2946,民主進步黨,16,丁守中,2432,中國國民黨
北投區清江里,6301200-021,5081,5132,8259,62.1%,吳思瑤,2744,民主進步黨,16,丁守中,2052,中國國民黨
北投區中央里,6301200-022,4954,5001,7317,68.3%,吳思瑤,2775,民主進步黨,16,丁守中,1926,中國國民黨
北投區長安里,6301200-023,3364,3399,5158,65.9%,吳思瑤,1781,民主進步黨,16,丁守中,1377,中國國民黨
北投區大同里,6301200-024,3499,3536,5029,70.3%,吳思瑤,1984,民主進步黨,16,丁守中,1292,中國國民黨
北投區溫泉里,6301200-025,3924,3964,5759,68.8%,吳思瑤,2097,民主進步黨,16,丁守中,1623,中國國民黨
北投區林泉里,6301200-026,1846,1862,3002,62.0%,吳思瑤,806,民主進步黨,16,丁守中,927,中國國民黨
北投區中心里,6301200-027,3494,3540,5524,64.1%,吳思瑤,1811,民主進步黨,16,丁守中,1447,中國國民黨
北投區中庸里,6301200-028,2581,2607,3820,68.2%,吳思瑤,1431,民主進步黨,16,丁守中,984,中國國民黨
北投區開明里,6301200-029,3891,3926,5644,69.6%,吳思瑤,1833,民主進步黨,16,丁守中,1812,中國國民黨
北投區中和里,6301200-030,3233,3269,4328,75.5%,吳思瑤,1549,民主進步黨,16,丁守中,1508,中國國民黨
北投區智仁里,6301200-031,3531,3574,5187,68.9%,吳思瑤,1764,民主進步黨,16,丁守中,1552,中國國民黨
北投區秀山里,6301200-032,1995,2017,2908,69.4%,吳思瑤,913,民主進步黨,16,丁守中,974,中國國民黨
北投區文化里,6301200-033,2449,2477,3475,71.3%,吳思瑤,810,民主進步黨,16,丁守中,1483,中國國民黨
北投區豐年里,6301200-034,2672,2705,3819,70.8%,吳思瑤,1350,民主進步黨,16,丁守中,1133,中國國民黨
北投區稻香里,6301200-035,2857,2882,4388,65.7%,吳思瑤,1428,民主進步黨,16,丁守中,1297,中國國民黨
北投區桃源里,6301200-036,3557,3599,5157,69.8%,吳思瑤,1940,民主進步黨,16,丁守中,1402,中國國民黨
北投區一德里,6301200-037,4195,4231,6089,69.5%,吳思瑤,2399,民主進步黨,16,丁守中,1591,中國國民黨
北投區關渡里,6301200-038,6451,6560,9541,68.8%,吳思瑤,3342,民主進步黨,16,丁守中,2738,中國國民黨
北投區泉源里,6301200-039,1357,1371,2072,66.2%,吳思瑤,786,民主進步黨,16,丁守中,492,中國國民黨
北投區湖山里,6301200-040,1038,1051,1588,66.2%,吳思瑤,578,民主進步黨,16,丁守中,427,中國國民黨
北投區大屯里,6301200-041,663,678,1033,65.6%,吳思瑤,437,民主進步黨,16,丁守中,191,中國國民黨
北投區湖田里,6301200-042,558,568,885,64.2%,吳思瑤,299,民主進步黨,16,丁守中,216,中國國民黨
